CNTRYID,CNTSCHID,STUBEHA,SCMCEG,TEACHBEHA,W_FSTUWT_SCH_SUM
36,3600256,2.7277,-2.436,0.9255,126.30463
36,3600257,1.2343,-2.1866,1.1913,595.11992
36,3600258,-1.1232,0.9042,-1.2943,448.08897
36,3600259,-1.5397,0.9042,-0.7733,547.60032
36,3600260,0.1795,-1.0542,0.2266,306.72945
36,3600261,,,,461.05544
36,3600262,-0.5654,-1.0542,1.2182,233.82722
36,3600263,-0.6199,0.9042,-0.0452,270.6254
36,3600264,0.6482,-2.1866,0.9028,327.79079
36,3600265,0.735,-0.061,1.2182,475.43086
36,3600266,-0.335,0.3009,-0.1274,385.60407
36,3600267,1.0522,0.1571,0.6015,248.05296
36,3600268,0.4651,-0.0504,1.3648,131.09338
36,3600269,1.0522,0.9042,-0.7733,358.15316
36,3600270,-0.1692,0.9042,-0.4289,476.54088
36,3600271,0.5515,0.9042,0.2266,164.26137
36,3600272,0.5157,-1.8443,0.6741,49.38672
36,3600273,0.735,0.9042,-0.4415,39.30794
36,3600274,0.8544,0.9042,-0.4415,717.8096
36,3600275,-1.9476,-0.1764,-1.2225,637.87662
36,3600276,1.0522,0.9042,-0.4289,315.87869
36,3600277,0.1795,0.9042,1.1913,383.05464
36,3600278,,,,81.83145
36,3600279,-0.0384,-0.1661,-0.8302,575.00372
36,3600280,-0.2686,-1.0542,0.6015,502.22926
36,3600281,0.4651,0.9042,-0.7733,377.14728
36,3600282,0.6482,0.9042,0.6101,419.61735
36,3600283,,,,488.37513
36,3600284,1.2343,0.287,0.9355,207.51929
36,3600285,-1.5397,0.9042,-1.2225,437.59719
36,3600286,-1.5397,0.9042,0.613,443.14889
36,3600287,0.4585,-1.0238,-0.1274,42.85387
36,3600288,-1.4545,0.9042,-2.0409,421.83486
36,3600289,-0.7293,-0.6263,-0.4007,403.7023
36,3600290,-1.5397,0.9042,-1.2225,327.44771
36,3600291,0.5209,-1.0389,-0.7866,2.49086
36,3600293,1.4565,-1.0542,0.6015,314.47249
36,3600294,0.7577,0.9042,-0.0027,111.12274
36,3600295,-0.0384,-0.1661,0.6015,173.92597
36,3600296,-3.3785,-1.5648,0.2266,311.15348
36,3600297,1.5849,-0.4971,1.481,312.16147
36,3600298,1.2343,0.9042,0.8952,414.755
36,3600299,-0.0384,-1.0542,0.2266,265.19782
36,3600300,1.4126,-0.497,-0.3913,412.26227
36,3600301,1.9143,0.3009,0.6101,204.19371
36,3600302,,,,382.7564
36,3600303,-0.5654,0.9042,0.6015,117.433
36,3600304,-0.0384,0.9042,0.9028,125.80601
36,3600305,-0.0384,-1.0542,0.2266,118.11805
36,3600306,-1.0594,0.9042,0.2266,527.42751
36,3600307,-0.0384,-1.0542,0.9255,53.41713
36,3600308,0.8423,-1.9458,0.9977,436.7273
36,3600309,0.6764,-2.436,1.6299,368.10757
36,3600310,,,,53.36929
36,3600311,0.1795,-1.7481,1.1822,202.99145
36,3600312,-0.8602,0.9042,0.3625,372.83258
36,3600313,-0.0384,0.8614,1.4533,174.18401
36,3600314,0.4651,0.9042,0.2266,403.96296
36,3600315,0.5515,-2.436,0.2266,501.68208
36,3600316,-0.0384,-1.0542,-0.1274,232.44744
36,3600317,-0.2753,0.9042,-2.0409,384.44666
36,3600318,0.8153,-1.0542,1.7102,3.67546
36,3600319,0.1795,-1.0542,0.6015,243.1744
36,3600320,1.0091,0.9042,1.1035,667.66834
36,3600321,-0.0384,-2.0884,0.2266,547.85583
36,3600322,-0.335,0.9042,-0.0452,334.67393
36,3600323,-0.0384,0.9042,-2.0409,596.22867
36,3600324,-2.0719,0.9042,-0.7866,307.66695
36,3600325,1.4565,-1.5648,0.83,127.84123
36,3600327,0.8944,-0.1661,0.3085,108.86251
36,3600328,-0.5078,-1.0542,0.6101,544.26503
36,3600329,0.1795,-1.0542,0.2266,337.78623
36,3600330,-0.6823,0.287,-0.1791,91.61131
36,3600331,-1.5397,0.9042,-0.4289,468.57959
36,3600332,-0.0384,-1.0542,0.2266,419.12271
36,3600333,-3.3785,-1.0542,0.0071,568.41048
